gene	celltype
Hopx	AT1
Ager	AT1
Clic5	AT1
Sftpc	AT2
Sftpb	AT2
Sftpa1	AT2
Apln	aCap
Car4	aCap
Tbx2	aCap
Ednrb	aCap
Chst1	aCap
Prdm1	aCap
Sirpa	aCap
Fibin	aCap
Aplnr	gCap
Tek	gCap
Gpihbp1	gCap
Plvap	gCap
Cd93	gCap
Ptprb	gCap
Tmem2	gCap
Cxcl12	gCap
Cd74	gCap
Lepr	gCap
Gpx3	gCap
Scn7a	Capillary
Cldn5	Capillary
Tgfbi	Myofibroblast
Wnt5a	Myofibroblast
Mfap5	MANC
Sfrp4	MANC
Wif1	MANC
Mmp2	MANC
Vegfa	Angiogenesis
Kdr	Angiogenesis
Angpt2	Angiogenesis
Tek	Angiogenesis
Fgf7	MANC_derived_signaling
Il6	MANC_derived_signaling
Nbl1	MANC_derived_signaling
Grem2	MANC_derived_signaling
Ager	Cell_motility
Sp1	Cell_motility
Epha3	Cell_motility