gene	source	signaling
Fgf2	Ligands	Fgf
Fgf7	Ligands	Fgf
Fgf9	Ligands	Fgf
Fgf10	Ligands	Fgf
Fgf13	Ligands	Fgf
Fgf14	Ligands	Fgf
Fgf18	Ligands	Fgf
Fgf20	Ligands	Fgf
Fgfr1	Receptors	Fgf
Fgfr2	Receptors	Fgf
Fgfr3	Receptors	Fgf
Fgfr4	Receptors	Fgf
Etv1	Targets	Fgf
Etv3	Targets	Fgf
Etv5	Targets	Fgf
Etv6	Targets	Fgf
Ets1	Targets	Fgf
Ets2	Targets	Fgf
Spry1	Targets	Fgf
Spry2	Targets	Fgf
Spry4	Targets	Fgf
Notch1	Receptors	Notch
Notch2	Receptors	Notch
Notch3	Receptors	Notch
Notch4	Receptors	Notch
Hes1	Targerts	Notch
Hes2	Targerts	Notch
Hes3	Targerts	Notch
Hes4	Targerts	Notch
Hes5	Targerts	Notch
Hes6	Targerts	Notch
Hes7	Targerts	Notch
Hey1	Targerts	Notch
Hey2	Targerts	Notch
Heyl	Targerts	Notch
Nrarp	Targerts	Notch
Dll1	Ligands	Notch
Dll4	Ligands	Notch
Jag1	Ligands	Notch
Jag2	Ligands	Notch